index,ID,Attempt Number,Time taken,10,0.87,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0.43,0.87,2.17
1,1819682,1,13 mins 55 secs,5.26,0.7,0.22,0.43,0,0,0,0.65,0,1.3,0.43,0.65,0.87
2,6212665,1,3 hours 2 mins,6.41,0,0.43,0.43,0.11,0.43,0,0.87,0.43,1.09,0,0.87,1.74
3,2818679,1,1 hour 53 mins,7.65,0.7,0.87,0.43,0.43,0,0.43,0.87,0.43,1.3,0,0.43,1.74
4,2216669,1,24 mins 38 secs,4,0.52,0.22,0.43,0,0.43,0.43,0.87,0.43,0.65,0,0,0
5,3320673,1,10 mins 23 secs,6.83,0.52,0.43,0.43,0,0.43,0.43,0.65,0.43,1.3,0,0.87,1.3
6,3406673,1,19 mins 56 secs,7.37,0.52,0.43,0.43,0.11,0.43,0.43,0.65,0.43,1.3,0,0.87,1.74
7,2318682,1,9 days 15 hours,7.09,0.35,0.43,0.43,0,0.43,0.43,0.87,0.43,1.3,0,0.65,1.74
8,2431665,1,26 days 20 hours,5.52,0.52,0.43,0.43,0,0,0,0.87,0,0.43,0.43,0.65,1.74
9,2281465,1,10 mins 56 secs,8.74,0.7,0.43,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0.43,0.65,1.74
10,2281465,2,4 mins 15 secs,10,0.87,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0.43,0.87,2.17
11,2816679,1,44 mins 39 secs,7.52,0.35,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0,0.65,0.87
12,2815685,1,15 mins 55 secs,7,0.7,0.43,0.43,0.43,0.43,0.43,0.87,0.43,0.87,0,0.65,1.3
13,2114672,1,28 days 21 hours,6.52,0.87,0.43,0.43,0,0.43,0.43,0.87,0.43,0.87,0,0.87,0.87
14,2218682,1,25 days 18 hours,4.78,0,0.43,0.43,0,0.43,0.43,0.87,0,0.87,0,0,1.3
15,1001682,1,12 mins 26 secs,7.26,0.52,0.87,0.43,0,0.43,0.43,0.87,0.43,0.43,0,0.65,2.17
16,1001682,2,6 mins 49 secs,8.96,0.7,0.87,0.43,0.43,0.43,0.43,0.65,0.43,1.74,0.43,0.65,1.74
17,2804676,1,16 mins 32 secs,7.78,0.17,0.43,0.43,0.43,0.43,0.43,0.65,0.43,1.74,0,0.87,1.74
18,2382967,1,20 mins 2 secs,2.43,0.7,0.43,0,0,0,0.43,0,0,0.43,0,0.43,0
19,1401679,1,4 days 21 hours,7.37,0.52,0.43,0.43,0.33,0.43,0.43,0.87,0.43,0.87,0,0.43,2.17
20,1819682,2,18 mins 38 secs,5.43,0.87,0.43,0.43,0,0,0,0.87,0.43,1.3,0.43,0.65,0
21,2810689,1,11 mins 27 secs,8,0.17,0.87,0.43,0,0.43,0.43,0.65,0.43,1.74,0.43,0.65,1.74
22,2303686,1,2 days 2 hours,9.04,0.35,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0,0.87,2.17
23,1009669,3,27 mins 12 secs,7.83,0.87,0.87,0.43,0,0.43,0,0.65,0.43,1.74,0.43,0.65,1.3
24,3202673,1,10 mins 39 secs,6.65,0.35,0.43,0.43,0,0.43,0,0.87,0.43,1.74,0.43,0.65,0.87
25,2021673,1,13 mins 57 secs,8.13,0.52,0.87,0.43,0.43,0.43,0.43,0.87,0,1.74,0.43,0.65,1.3
26,2301672,1,26 mins 59 secs,4.26,0.35,0,0.43,0.43,0,0.43,0.87,0.43,1.3,0,0,0
27,2301672,2,9 mins 9 secs,9,0.52,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.3,0.43,0.65,2.17
28,1406679,1,17 mins 20 secs,3.91,0,0.43,0.43,0,0,0,0,0,0.87,0,0.43,1.74
29,2110679,1,23 mins 34 secs,7.3,0.35,0.87,0.43,0.43,0.43,0,0.87,0.43,1.74,0.43,0,1.3
30,2313065,1,25 mins 44 secs,6.78,0.7,0.43,0.43,0.43,0.43,0.43,0.87,0.43,0.43,0,0.87,1.3
31,2321365,1,20 mins 48 secs,7.7,0.52,0.87,0.43,0.43,0.43,0.43,0.65,0.43,0.87,0.43,0.43,1.74
32,2021673,2,17 mins 57 secs,9.65,0.52,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0.43,0.87,2.17
33,2718673,1,32 mins 23 secs,7.04,0.52,0.43,0.43,0,0,0.43,0.87,0.43,1.74,0,0.43,1.74
34,2718674,1,32 mins 39 secs,9.35,0.87,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0.43,0.65,1.74
35,2721669,1,21 mins 45 secs,7.65,0.7,0.43,0.43,0.43,0.43,0.43,0.87,0.43,0.87,0,0.87,1.74
36,2110669,1,35 mins 39 secs,7.65,0.7,0.87,0.43,0,0.43,0.43,0.87,0.43,0.87,0,0.43,2.17
37,2402507,1,16 hours 57 mins,6.61,0.52,0.43,0.43,0.43,0.43,0.43,0.87,0.43,0.87,0,0.43,1.3
38,2717687,1,31 mins 55 secs,7.09,0.35,0.87,0.43,0.43,0.43,0.43,0.22,0.43,1.09,0,0.65,1.74
39,2343365,1,40 mins 18 secs,9.83,0.7,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0.43,0.87,2.17
40,2332665,1,13 mins 57 secs,2.52,0.35,0.43,0.43,0,0,0,0,0.43,0,0,0,0.87
41,1400685,1,19 mins 57 secs,1.98,0.35,0.43,0.43,0.33,0,0,0.43,0,0,0,0,0
42,2107670,1,7 mins 32 secs,2.13,0.17,0.43,0,0,0,0.43,0.22,0.43,0.43,0,0,0
43,2717685,1,9 days 1 hour,2.83,0,0,0.43,0,0,0,0.87,0.43,0.43,0,0.65,0
44,2341465,1,1 day 20 hours,5.65,0,0.22,0.43,0,0,0.43,0.65,0.43,1.3,0,0.87,1.3
45,9211865,1,24 mins 1 sec,6.87,0.35,0.87,0.43,0.43,0.43,0.43,0.87,0,1.3,0,0.43,1.3
46,1799678,1,30 mins 14 secs,8.3,0.7,0.43,0.43,0,0.43,0.43,0.87,0.43,1.74,0.43,0.65,1.74
47,1799678,2,7 mins 59 secs,10,0.87,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0.43,0.87,2.17
48,2304679,1,15 mins 46 secs,5.65,0,0.43,0,0.43,0.43,0,0.43,0,1.74,0,0.43,1.74
49,2016685,1,31 mins 2 secs,7,0.7,0.43,0.43,0.43,0.43,0.43,0.65,0.43,0.87,0,0,2.17
50,1400669,1,18 mins 59 secs,6.22,0.35,0.43,0,0.43,0,0.43,0.22,0,1.74,0,0.87,1.74
51,1400669,2,9 mins 18 secs,8.96,0.7,0.87,0.43,0.43,0.43,0.43,0.43,0.43,1.3,0.43,0.87,2.17
52,2202685,1,12 mins 43 secs,4,0.52,0.43,0.43,0,0,0.43,0,0,0.43,0,0,1.74
53,2214669,1,16 mins 35 secs,8.35,0.52,0.43,0.43,0.22,0.43,0.43,0.87,0.43,1.74,0,0.65,2.17
54,2314679,1,24 mins 27 secs,6.61,0.52,0.43,0.43,0.43,0.43,0.43,0.87,0.43,0.43,0,0.43,1.74
55,2300669,1,20 days 8 hours,3.76,0.17,0,0,0.11,0,0.43,0.87,0.43,0.87,0,0,0.87
56,1401676,1,18 mins 8 secs,6.83,0.52,0.87,0.43,0,0.43,0.43,0.87,0,0.87,0.43,0.65,1.3
57,2292865,1,16 mins 19 secs,3,0.17,0.43,0.43,0,0,0,0,0,0.43,0,0.65,0.87
58,2292865,2,4 mins 31 secs,5.78,0.35,0.43,0.43,0,0.43,0.43,0.22,0.43,0.43,0.43,0.87,1.3
59,2341365,1,29 mins 42 secs,4.87,0.52,0.43,0.43,0,0.43,0.43,0.87,0.43,0.43,0,0.87,0
60,1321673,1,16 days 21 hours,2.2,0.35,0,0.43,0.11,0,0,0,0,0,0,0,1.3
61,1400669,3,13 mins 2 secs,9,0.52,0.87,0.43,0.43,0.43,0.43,0.65,0.43,1.3,0.43,0.87,2.17
62,2700682,1,9 days 17 hours,5.78,0.35,0.43,0.43,0.43,0,0,0.22,0.43,1.3,0,0.43,1.74
63,2341465,2,11 mins 29 secs,8.22,0.17,0.43,0.43,0.43,0.43,0.43,0.87,0.43,1.09,0.43,0.87,2.17
64,2900682,1,26 mins 11 secs,6.22,0.35,0.43,0,0,0.43,0,0.87,0.43,1.74,0,0.65,1.3
65,2318685,1,17 days 1 hour,4.67,0,0.43,0.43,0.11,0.43,0.43,0.87,0,0.65,0,0,1.3
66,2343365,2,23 mins 27 secs,9.83,0.7,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0.43,0.87,2.17
67,2341865,1,17 mins 4 secs,6.65,0.35,0.43,0.43,0.43,0.43,0.43,0.87,0.43,0.43,0.43,0.22,1.74
68,2341865,2,14 mins 42 secs,9.57,0.87,0.43,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0.43,0.87,2.17
69,2200679,1,16 days 23 hours,5.48,0.7,0.43,0.43,0.43,0.43,0,0.43,0,1.74,0.43,0.43,0
70,2311673,2,58 mins 5 secs,4.7,0.35,0.43,0.43,0.43,0.43,0,0.43,0.43,1.74,0,0,0
71,2301682,1,30 mins 14 secs,4.83,0.7,0.87,0.43,0,0,0,0.22,0.43,0.87,0,0,1.3
72,2393365,1,16 days 11 hours,8.15,0.87,0.87,0.43,0.11,0,0,0.65,0.43,1.74,0,0.87,2.17
73,2281865,1,18 mins 54 secs,7.74,0.35,0.43,0.43,0,0,0.43,0.87,0,1.74,0.43,0.87,2.17
74,2306679,1,19 mins 44 secs,4.48,0.35,0.43,0.43,0,0.43,0,0.87,0,0.22,0,0.43,1.3
75,2321465,1,27 mins 49 secs,4.22,0.52,0.43,0.43,0,0.43,0,0,0.43,0.65,0,0,1.3
76,2342265,1,10 days 5 hours,7.65,0.7,0.43,0.43,0.43,0.43,0.43,0.87,0,1.3,0,0.87,1.74
77,2453065,1,20 mins 44 secs,4.57,0,0.43,0.43,0,0,0,0.65,0,0.87,0,0,2.17
78,2453065,2,9 mins 6 secs,8.52,0.7,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.3,0.43,0,2.17
79,2805673,1,22 mins 31 secs,6.65,0.35,0.87,0.43,0,0.43,0,0.87,0,1.3,0.43,0.65,1.3
80,2251265,1,11 mins 26 secs,5.13,0.35,0.87,0.43,0,0.43,0.43,0.87,0,0.43,0.43,0.43,0.43
81,2391265,1,10 mins 37 secs,6.43,0.35,0.87,0.43,0.43,0.43,0.43,0.87,0,0.87,0,0.87,0.87
82,2321465,2,18 mins 23 secs,5.37,0.7,0.43,0.43,0.11,0.43,0.43,0.65,0.43,0.22,0,0.22,1.3
83,2382967,2,11 days 3 hours,7.74,0.35,0.87,0.43,0.43,0,0.43,0.65,0.43,1.74,0,0.65,1.74
84,2343365,3,7 days 21 hours,10,0.87,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0.43,0.87,2.17
85,2332665,2,30 mins 10 secs,3.76,0.17,0.43,0.43,0.11,0.43,0,0,0.43,0.87,0,0,0.87
86,2108679,1,19 mins 21 secs,2.74,0.35,0.43,0,0,0,0,0.22,0,0.22,0,0.65,0.87
87,2311673,2,14 mins 32 secs,5.74,0.52,0.43,0.43,0.43,0.43,0,0.65,0.43,1.09,0,0,1.3
88,2305682,1,36 mins 35 secs,4.7,0.35,0.43,0.43,0,0.43,0,0.22,0,0.43,0,0.65,1.74
89,2305682,2,7 mins 7 secs,7.65,0.7,0.43,0.43,0.43,0.43,0.43,0.87,0.43,0.65,0.43,0.65,1.74
90,1819682,3,8 mins 41 secs,5,0.87,0.22,0.43,0,0.43,0,0.87,0.43,1.3,0.43,0,0
91,2317684,1,30 mins 57 secs,8.35,0.52,0.43,0.43,0,0.43,0.43,0.87,0.43,1.74,0.43,0.87,1.74
92,2304679,2,12 mins 11 secs,7.74,0.35,0.87,0.43,0.43,0.43,0,0.87,0.43,1.74,0,0.43,1.74
93,2021672,1,42 mins 4 secs,6.35,0.7,0.87,0.43,0.43,0,0.43,0.87,0.43,1.09,0,0.65,0.43
94,2111679,1,42 mins 10 secs,7.43,0.7,0.87,0.43,0.43,0,0.43,0.87,0.43,1.74,0.43,0.65,0.43
95,2321665,1,14 mins 42 secs,5.78,0.35,0.43,0.43,0.43,0,0,0.87,0.43,0.87,0,0.65,1.3
96,1014682,1,6 days 21 hours,3.04,0,0.43,0,0.22,0,0,0.65,0.43,0.22,0,0.22,0.87
97,2109673,1,31 mins 25 secs,4.61,0.7,0.87,0.43,0,0,0.43,0,0,0.87,0,0.43,0.87
98,2321465,3,35 mins 10 secs,8.48,0.87,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.3,0.43,0.65,1.3
99,1401682,1,40 mins 50 secs,7.61,0.87,0.87,0.43,0,0.43,0.43,0.87,0,1.3,0,0.65,1.74
100,1400669,4,12 mins 29 secs,9.83,0.7,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0.43,0.87,2.17
101,2311673,3,8 mins 4 secs,7.65,0.7,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0,0,1.3
102,9211865,2,31 mins 19 secs,7.74,0.35,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.3,0,0,2.17
103,9211865,3,12 mins 51 secs,8.35,0.52,0.87,0.43,0.43,0,0.43,0.87,0.43,1.74,0.43,0,2.17
104,2100669,1,30 mins 17 secs,1.48,0.17,0,0.43,0,0,0,0.22,0,0.43,0,0.22,0
105,2362965,1,5 days 9 hours,4.7,0.35,0,0.43,0,0.43,0,0.43,0.43,0,0.43,0.43,1.74
106,2381365,1,20 mins 2 secs,2.87,0.7,0.43,0.43,0,0,0.43,0,0,0.43,0.43,0,0
107,2100669,2,1 day 22 hours,4.52,0.17,0.43,0.43,0.43,0,0.43,0.22,0.43,0,0,0.65,1.3
108,3306685,1,18 mins 30 secs,3.96,0.7,0.43,0,0,0.43,0,0.65,0,0.43,0,0,1.3
109,2304679,3,24 mins 36 secs,10,0.87,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0.43,0.87,2.17
110,2341365,2,14 mins 38 secs,5.26,0.7,0,0.43,0,0,0.43,0.87,0.43,0.43,0,0.65,1.3
111,2804676,2,1 hour 1 min,9.22,0.52,0.87,0.43,0,0.43,0.43,0.87,0.43,1.74,0.43,0.87,2.17
112,2332367,1,37 mins 13 secs,6.52,0.87,0,0.43,0,0,0.43,0.87,0,1.74,0,0.87,1.3
113,3212669,1,1 hour 7 mins,5.87,0,0.43,0.43,0.43,0,0.43,0.87,0.43,0.87,0,0.22,1.74
114,2332665,3,13 mins 50 secs,4.26,0.35,0.43,0.43,0.43,0,0,0.65,0.43,0.65,0.43,0,0.43
115,1416669,4,16 mins 6 secs,4.52,0.17,0.87,0.43,0,0.43,0,0.43,0,1.3,0,0,0.87
116,1416669,5,4 mins 17 secs,8.96,0.7,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0.43,0.87,1.3
117,2302673,1,16 mins 7 secs,5.13,0.35,0.87,0.43,0,0.43,0,0.65,0,1.74,0,0.65,0
118,2302673,2,14 mins 42 secs,9.57,0.87,0.87,0.43,0.43,0.43,0.43,0.87,0.43,1.74,0.43,0.87,1.74
119,2308669,1,17 mins 48 secs,4.09,0.17,0.43,0.43,0,0.43,0,0.22,0,0.43,0,0.65,1.3
120,2341465,3,14 mins 1 sec,7.57,0.17,0.87,0.43,0.43,0,0.43,0.87,0.43,1.3,0,0.87,1.74
121,2251265,2,10 mins 47 secs,8.13,0.52,0.87,0.43,0.43,0,0.43,0.87,0.43,0.87,0.43,0.65,2.17
122,1400685,2,5 hours 38 mins,1.22,0.35,0.43,0,0,0,0,0,0,0.43,0,0,0
123,2014679,1,3 days 5 hours,5.09,0.52,0.43,0.43,0.22,0,0.43,0.87,0.43,0.87,0,0,0.87
124,2313065,2,22 mins 30 secs,8.04,0.87,0.87,0.43,0.43,0,0.43,0.87,0.43,0.65,0.43,0.87,1.74
125,1017684,1,26 mins 32 secs,7.26,0.52,0.87,0.43,0.43,0.43,0.43,0.87,0.43,0.43,0.43,0.65,1.3
126,2318682,2,22 mins 15 secs,6.78,0.7,0,0.43,0.43,0.43,0,0.65,0.43,1.3,0,0.65,1.74
127,2811669,1,30 mins 29 secs,3.78,0.52,0.43,0,0,0,0,0.22,0,1.3,0,0,1.3
128,2318682,3,64 days 16 hours,7,0.7,0.65,0.43,0.43,0.43,0,0.65,0.43,1.3,0,0.65,1.3
129,2381365,1,23 hours 9 mins,2.26,0.52,0.43,0.43,0.43,0.43,0,0,0,0,0,0,0
130,2108679,2,12 mins 41 secs,5.57,0.35,0.43,0.43,0.43,0,0,0.87,0,0.65,0.43,0.22,1.74
131,2381365,2,1 min 39 secs,2.78,0.17,0.87,0.43,0.43,0.43,0.43,0,0,0,0,0,0
