Index,ID,Attempt Number,Time taken,10,1.67,1.67,0.83,0.83,0.83,4.17
1,2343365,1,14 mins 24 secs,6.67,0,0.83,0.83,0.83,0,2.5
2,2804676,1,20 mins 15 secs,5.83,0,0.83,0.83,0.83,0.83,4.17
3,2343365,2,8 mins 6 secs,10,1.67,1.67,0.83,0.83,0.83,1.67
4,2341865,1,13 mins 15 secs,6.67,0,0.83,0.83,0.83,0,3.33
5,6212665,1,10 mins 24 secs,2.5,0,0,0,0.83,0.83,4.17
6,6212665,2,2 mins 19 secs,5.83,1.67,1.67,0.83,0,0.83,4.17
7,3202673,1,7 mins 58 secs,5.83,1.67,0,0.83,0.83,0,0.83
8,2021673,1,39 mins 2 secs,6.67,0.83,1.67,0,0.83,0.83,0.83
9,2021673,2,2 mins 28 secs,9.17,1.67,1.67,0.83,0.83,0.83,4.17
10,2021673,3,1 min 40 secs,10,1.67,1.67,0.83,0.83,0.83,0.83
11,2281865,1,9 mins 37 secs,6.67,0,0.83,0.83,0.83,0,0.83
12,3416679,1,9 mins 43 secs,2.5,1.67,0,0,0.83,0,4.17
13,2816679,1,14 mins 56 secs,6.67,0,0.83,0.83,0.83,0,4.17
14,7231765,1,16 days 16 hours,6.67,0,0,0.83,0.83,0.83,4.17
15,2721669,1,1 min 39 secs,0,0,0,0,0,0,4.17
16,2717687,1,19 mins 54 secs,4.17,0,0.83,0.83,0,0.83,4.17
17,2281465,1,12 mins 25 secs,10,1.67,1.67,0.83,0.83,0.83,4.17
18,2402507,1,8 mins 17 secs,5.83,0,0.83,0.83,0.83,0.83,1.67
19,2214669,1,7 mins 3 secs,9.17,1.67,1.67,0.83,0.83,0,4.17
20,2718674,1,20 mins 40 secs,7.5,0.83,0.83,0.83,0.83,0,4.17
21,2303686,1,8 mins 55 secs,6.67,0,0.83,0.83,0.83,0.83,4.17
22,2804676,2,10 mins 35 secs,8.33,0.83,0.83,0.83,0.83,0.83,0.83
23,2306679,1,9 mins 35 secs,5,0.83,0,0,0.83,0,0
24,2110669,1,21 mins 14 secs,6.67,0,0.83,0.83,0,0.83,4.17
25,2110669,2,4 mins 29 secs,8.33,0.83,0.83,0.83,0.83,0.83,3.33
26,2107670,1,16 mins 30 secs,3.33,0,0,0,0.83,0.83,3.33
27,2321365,1,8 mins 41 secs,7.5,1.67,0.83,0,0.83,0,0
28,1009669,1,10 mins 36 secs,5,0,0,0,0.83,0,4.17
29,2453065,1,14 mins 55 secs,2.5,0,0,0,0,0,0
30,2453065,2,8 mins 51 secs,5,0,0,0.83,0,0.83,3.33
31,2382967,1,14 mins 33 secs,0,0,0,0,0,0,3.33
32,2382967,2,5 mins 27 secs,5,1.67,0,0.83,0.83,0.83,2.5
33,2313065,1,7 days 13 hours,6.67,0,0.83,0.83,0.83,0,0.83
34,2804676,3,8 days 1 hour,10,1.67,1.67,0.83,0.83,0.83,4.17
35,2321465,1,1 hour 33 mins,2.5,0,0.83,0,0,0,4.17
36,2815685,1,6 mins 1 sec,8.33,1.67,0,0.83,0.83,0.83,4.17
37,2321465,2,4 hours 55 mins,5.83,1.67,0.83,0.83,0.83,0.83,3.33
38,2321465,3,2 days,8.33,1.67,1.67,0.83,0,0,2.5
39,2216669,1,14 mins 25 secs,4.17,0,0,0,0,0,4.17
40,2216669,2,7 mins 49 secs,9.17,0.83,1.67,0.83,0.83,0.83,3.33
41,3212669,1,11 days 20 hours,1.67,0,0,0.83,0,0,4.17
42,2341465,1,10 mins 20 secs,5.83,0,0,0,0.83,0.83,0
43,2332665,1,13 mins 5 secs,2.5,0,0,0,0,0,1.67
44,2332665,2,16 mins 29 secs,7.5,0,1.67,0.83,0,0.83,0.83
45,2311673,1,6 mins 14 secs,5.83,0,0.83,0.83,0,0,2.5
46,2305682,1,15 mins 10 secs,6.67,0,1.67,0.83,0.83,0,3.33
47,2700682,1,6 mins 53 secs,4.17,0.83,0.83,0,0.83,0,4.17
48,2342265,1,7 days 1 hour,8.33,1.67,0,0.83,0.83,0.83,4.17
49,1014676,1,12 mins 24 secs,8.33,0.83,0.83,0.83,0.83,0.83,4.17
50,1001682,1,11 mins 38 secs,4.17,0,0.83,0,0.83,0,4.17
51,1001682,2,3 mins 19 secs,7.5,0,0.83,0.83,0.83,0.83,0.83
52,2341365,1,41 mins 37 secs,4.17,0,0,0.83,0.83,0,3.33
53,2321665,1,1 hour 24 mins,5.83,0,0,0.83,0.83,0.83,1.67
54,1401676,1,17 mins 49 secs,5,0,0.83,0,0,0,1.67
55,2292865,1,5 days 21 hours,0,0,0,0,0,0,0
56,2021672,1,20 mins 52 secs,0.83,0,0,0.83,0,0,3.33
57,2021672,2,9 mins 3 secs,6.67,1.67,0.83,0.83,0.83,0.83,3.33
58,1400669,1,8 mins 11 secs,5,0,0.83,0,0,0,1.67
59,1401682,1,10 mins 25 secs,0,0,0,0,0,0,4.17
60,1400669,2,6 mins 41 secs,7.5,0,0.83,0.83,0.83,0.83,3.33
61,2304679,1,15 mins 1 sec,5.83,0,0,0.83,0.83,0,4.17
62,2311673,2,11 mins 25 secs,5.83,0,0.83,0.83,0,0,4.17
63,2108679,1,2 days 23 hours,3.33,0,0,0,0,0,4.17
64,2110679,1,11 mins 21 secs,9.17,1.67,0.83,0.83,0.83,0.83,4.17
65,2382967,3,3 days 23 hours,3.33,0.83,0,0.83,0,0,3.33
66,2304679,2,15 mins 32 secs,9.17,0.83,1.67,0.83,0.83,0.83,0.83
67,2341365,2,7 mins 26 secs,5,0,0.83,0.83,0.83,0,2.5
68,2332367,1,11 mins 55 secs,6.67,0.83,0.83,0.83,0,0,4.17
69,1416669,1,13 mins 33 secs,5,0,0.83,0.83,0.83,0,0
70,2343365,3,12 mins 39 secs,10,1.67,1.67,0.83,0.83,0.83,0
71,2251265,1,8 mins 5 secs,6.67,0,1.67,0,0,0.83,1.67
72,2341465,2,8 mins 7 secs,8.33,0.83,0.83,0.83,0.83,0.83,4.17
73,1017684,1,11 mins 11 secs,4.17,0,0,0,0,0,3.33
74,2318682,1,14 mins 55 secs,5.83,0,0,0.83,0.83,0,0.83
75,2811669,1,3 days 14 hours,3.33,0.83,0,0,0.83,0,4.17
76,1400685,1,22 mins 9 secs,2.5,0,0,0,0.83,0.83,4.17
77,2302673,1,10 mins 59 secs,5.83,0,0,0.83,0.83,0,4.17
78,9211865,1,15 mins 33 secs,5,0,0.83,0,0.83,0,4.17
79,9211865,2,53 mins 34 secs,7.5,0,0.83,0.83,0.83,0.83,4.17
80,2304679,3,7 mins 4 secs,9.17,1.67,0.83,0.83,0.83,0.83,2.5
81,2109673,1,16 mins 34 secs,7.5,1.67,0.83,0.83,0.83,0,0
82,1401679,1,9 mins 43 secs,5.83,0.83,0,0.83,0.83,0,3.33
83,2332367,2,39 mins 44 secs,6.67,0.83,0,0.83,0.83,0.83,4.17
84,2299676,1,11 mins 14 secs,3.33,0.83,0,0,0,0,4.17
85,2321465,4,8 mins 53 secs,5,0,0.83,0.83,0.83,0.83,4.17
86,2313683,1,21 mins 32 secs,7.5,0.83,0.83,0.83,0.83,0,4.17
87,2111679,1,13 mins 48 secs,3.33,0,0.83,0.83,0.83,0,3.33
88,2111679,2,2 mins 33 secs,8.33,1.67,1.67,0.83,0.83,0.83,0
89,2313065,2,10 mins 54 secs,5.83,0.83,0,0.83,0.83,0.83,3.33
90,2305682,2,11 mins 55 secs,7.5,0.83,0.83,0.83,0.83,0.83,4.17
91,2292865,2,24 mins 48 secs,6.67,0.83,0,0.83,0.83,0.83,2.5
92,2292865,3,9 mins 52 secs,9.17,0.83,1.67,0.83,0.83,0.83,4.17
93,1321673,1,43 mins 12 secs,0.83,0,0,0,0,0,4.17
94,2018672,1,9 mins 53 secs,5.83,0,0.83,0.83,0,0.83,2.5
95,2805673,1,11 mins 5 secs,6.67,0,0.83,0.83,0.83,0,1.67
96,1321673,2,13 mins 12 secs,6.67,1.67,0,0,0.83,0,0
97,2343365,4,8 mins 5 secs,10,1.67,1.67,0.83,0.83,0.83,0
98,1321673,3,8 mins 10 secs,7.5,1.67,0,0.83,0.83,0,2.5
99,2110679,2,8 mins 9 secs,8.33,0.83,0.83,0.83,0.83,0.83,1.67
100,2303686,2,24 mins 45 secs,8.33,1.67,0,0.83,0.83,0.83,4.17
101,1321673,4,3 mins 5 secs,7.5,1.67,0,0.83,0,0.83,0
102,1321673,5,2 mins 51 secs,8.33,1.67,0,0.83,0.83,0.83,4.17
103,9211865,3,9 mins 55 secs,9.17,1.67,0.83,0.83,0.83,0.83,3.33
104,2717687,2,16 mins 32 secs,5,0,0,0.83,0.83,0,4.17
105,2332367,3,1 hour 13 mins,7.5,0.83,0,0.83,0.83,0.83,4.17
106,2301682,1,8 mins 23 secs,0.83,0,0,0,0,0.83,4.17
107,1400685,2,16 mins 25 secs,2.5,1.67,0,0.83,0,0,4.17
108,2100669,1,17 mins 33 secs,0.83,0,0,0,0,0,4.17
109,3406673,1,21 mins 22 secs,8.33,0.83,0.83,0.83,0.83,0.83,1.67
110,2218682,1,18 mins 43 secs,3.33,0,0,0,0.83,0,3.33
111,1817689,1,31 mins 56 secs,5,0,0.83,0,0,0,3.33
112,1400669,3,8 mins 22 secs,6.67,0.83,0.83,0,0,0.83,4.17
113,2717685,1,34 mins 9 secs,6.67,0,0,0.83,0.83,0.83,3.33
114,2105679,1,23 mins 21 secs,5,0,0,0.83,0.83,0,3.33
115,3320673,1,13 mins 2 secs,6.67,0,0.83,0.83,0.83,0,4.17
116,2321665,1,12 mins 54 secs,7.5,0.83,0.83,0.83,0.83,0.83,4.17
117,1799678,1,15 mins 38 secs,7.5,0.83,0,0.83,0.83,0.83,4.17
118,1799678,2,4 mins 13 secs,9.17,1.67,0.83,0.83,0.83,0.83,1.67
119,1406679,1,12 mins 35 secs,3.33,0,0,0,0,0,4.17
120,2021672,3,17 mins 50 secs,3.33,0,0.83,0.83,0,0.83,4.17
121,2321465,5,20 mins 40 secs,8.33,1.67,0.83,0.83,0.83,0.83,4.17
122,6212665,3,13 mins 57 secs,0,0,0,0,0,0,4.17
123,6212665,4,46 mins 24 secs,7.5,1.67,0.83,0.83,0.83,0,2.5
124,2313065,3,5 mins 10 secs,8.33,1.67,0,0.83,0.83,0.83,4.17
125,2341365,3,6 mins 16 secs,5,0,0,0.83,0.83,0.83,4.17
126,2317684,1,17 mins 1 sec,10,1.67,1.67,0.83,0.83,0.83,4.17
127,3306685,1,7 mins 5 secs,1.67,0,0,0.83,0.83,0,4.17
128,2018672,2,6 mins 50 secs,6.67,0,0.83,0.83,0.83,0,0.83
129,2381365,1,3 hours 42 mins,0.83,0,0.83,0,0,0,4.17
130,2301672,1,11 mins 20 secs,2.5,0,0,0,0,0,4.17
131,3306685,2,5 mins 45 secs,5,1.67,0.83,0.83,0.83,0.83,4.17
132,2301672,2,6 mins 5 secs,6.67,1.67,1.67,0.83,0,0.83,1.67
133,2107670,2,10 mins 20 secs,2.5,0,0,0.83,0.83,0.83,0.83
134,2300685,1,19 mins 59 secs,0,0,0,0,0,0,4.17
135,2218682,2,10 mins 43 secs,1.67,0.83,0,0.83,0,0,1.67
136,2308669,1,25 mins 32 secs,6.67,0.83,0,0.83,0,0.83,3.33
137,2308669,2,1 min 27 secs,9.17,1.67,0.83,0.83,0.83,0.83,3.33
138,2308669,3,1 min 5 secs,10,1.67,1.67,0.83,0.83,0.83,3.33
139,2014679,1,40 mins 48 secs,5,0,0.83,0.83,0,0,3.33
140,3222967,1,17 mins 33 secs,4.17,0,0.83,0,0.83,0,4.17
141,2382967,4,9 mins 32 secs,0.83,0.83,0,0,0,0,3.33
142,2393365,1,18 mins 37 secs,6.67,0.83,0.83,0.83,0.83,0.83,4.17
143,2200679,1,7 mins 7 secs,1.67,0,0.83,0.83,0,0,4.17
144,2816679,2,9 mins 8 secs,9.17,1.67,0.83,0.83,0.83,0.83,3.33
145,2200679,2,2 mins 18 secs,2.5,0.83,0.83,0,0.83,0,2.5
146,2318685,1,3 hours 14 mins,1.67,0,0,0,0.83,0,4.17
147,2300669,1,7 mins 1 sec,1.67,0,0,0,0,0,2.5
148,2300669,2,2 mins 15 secs,2.5,0.83,0,0.83,0,0.83,2.5
149,2311673,3,30 mins 36 secs,8.33,0.83,0.83,0.83,0.83,0.83,2.5
150,2321465,6,11 mins 37 secs,9.17,1.67,1.67,0.83,0.83,0.83,4.17
151,3306685,3,5 mins 47 secs,7.5,1.67,0,0.83,0.83,0,4.17
152,2381865,1,12 hours 34 mins,0,0,0,0,0,0,4.17
153,2332367,4,8 mins 1 sec,10,1.67,1.67,0.83,0.83,0.83,4.17
154,2108679,2,10 mins 12 secs,2.5,0,0.83,0,0,0,4.17
155,2017673,1,11 mins 37 secs,5.83,1.67,0,0,0.83,0.83,4.17
156,2381365,1,67 days 12 hours,4.17,0,0.83,0,0.83,0,4.17
157,2301676,1,10 mins 4 secs,5,0,0,0,0.83,0,4.17
158,2291566,1,44 mins 38 secs,5.83,0,0,0.83,0.83,0,4.17
159,2721669,2,7 mins,8.33,1.67,1.67,0.83,0.83,0,4.17
160,2107670,3,1 hour 18 mins,7.5,0.83,0.83,0.83,0.83,0.83,4.17
161,2305682,3,15 mins 23 secs,9.17,1.67,0.83,0.83,0.83,0.83,4.17
162,1404673,1,16 mins 37 secs,5.83,0,0.83,0,0.83,0.83,0
163,2108679,3,11 mins 20 secs,7.5,1.67,0,0.83,0.83,0,2.5
164,2218682,3,9 hours 37 mins,8.33,0.83,1.67,0.83,0.83,0.83,0
165,2811673,1,15 mins 37 secs,5.83,0,0,0.83,0.83,0,2.5
166,2393065,1,15 mins 7 secs,1.67,0,0.83,0,0,0,0
167,2811669,2,65 days 11 hours,0.83,0,0.83,0,0,0,0.83
168,2393065,2,8 mins 48 secs,9.17,1.67,0.83,0.83,0.83,0.83,1.67
169,2202685,1,8 mins 16 secs,1.67,0,0,0,0,0.83,0
170,1321673,6,7 mins 39 secs,7.5,1.67,0,0.83,0.83,0,0.83
171,2393365,2,11 mins 33 secs,8.33,1.67,0.83,0.83,0.83,0.83,4.17
172,2721669,3,3 mins 27 secs,10,1.67,1.67,0.83,0.83,0.83,2.5
173,1321673,7,2 mins 59 secs,8.33,1.67,0,0.83,0.83,0.83,3.33
174,2110679,3,11 mins,9.17,1.67,1.67,0.83,0.83,0.83,4.17
175,2200679,3,9 mins 15 secs,6.67,0.83,1.67,0.83,0.83,0.83,2.5
176,2341365,4,6 mins 42 secs,7.5,0.83,0,0.83,0.83,0.83,2.5
177,2306679,2,10 mins 55 secs,5.83,0.83,0,0.83,0.83,0,3.33
178,2321365,2,6 mins 22 secs,9.17,1.67,0.83,0.83,0.83,0.83,1.67
179,2810689,1,9 mins 11 secs,6.67,1.67,0.83,0.83,0.83,0,4.17
180,1401679,2,5 mins 51 secs,7.5,1.67,0.83,0,0.83,0.83,1.67
181,2291566,2,15 mins 31 secs,9.17,1.67,1.67,0.83,0.83,0.83,3.33
182,2381865,2,15 mins 34 secs,8.33,1.67,1.67,0.83,0.83,0.83,4.17
183,2216669,3,15 mins 35 secs,9.17,1.67,1.67,0.83,0.83,0,4.17
184,1014682,1,15 mins 9 secs,0.83,0,0,0,0,0,0
185,1021672,1,9 mins 37 secs,3.33,0,0.83,0.83,0.83,0,3.33
186,2362965,1,11 mins 41 secs,6.67,0.83,0,0.83,0.83,0,4.17
187,2341365,5,4 mins 15 secs,7.5,0.83,0,0.83,0.83,0.83,2.5
188,1401682,2,10 mins 26 secs,9.17,1.67,1.67,0.83,0.83,0,4.17
189,1014682,2,2 mins 34 secs,5.83,1.67,1.67,0.83,0,0.83,4.17
190,2017673,2,9 mins 8 secs,8.33,0.83,0.83,0.83,0.83,0.83,4.17
191,2200679,4,4 mins 55 secs,10,1.67,1.67,0.83,0.83,0.83,2.5
192,2304685,1,9 mins 26 secs,4.17,0,0.83,0,0.83,0.83,1.67
193,2214669,2,4 mins 52 secs,6.67,1.67,0,0,0.83,0,0
194,1416669,2,70 days 9 hours,5,0.83,0.83,0.83,0.83,0.83,3.33
195,1321673,8,69 days 6 hours,5,0,0.83,0.83,0.83,0.83,4.17
196,2718674,2,10 mins 36 secs,9.17,1.67,0.83,0.83,0.83,0.83,4.17
197,1008679,1,24 mins 33 secs,3.33,0.83,0,0.83,0,0,4.17
198,1008679,2,9 mins 6 secs,6.67,0.83,1.67,0.83,0,0,4.17
199,2114672,1,14 mins 57 secs,6.67,0,1.67,0.83,0,0,2.5
200,2308679,4,33 mins 4 secs,4.17,0,0.83,0,0.83,0.83,0.83
201,2021673,4,1 hour 36 mins,9.17,0.83,1.67,0.83,0.83,0.83,2.5
202,2021673,5,6 mins 12 secs,10,1.67,1.67,0.83,0.83,0.83,0
203,2811669,3,13 mins 56 secs,5.83,1.67,0.83,0,0,0,0
204,2332367,5,1 hour 58 mins,7.5,0.83,0.83,0.83,0.83,0.83,4.17
205,2200679,5,10 mins 43 secs,8.33,1.67,0.83,0.83,0.83,0.83,4.17
206,1401685,1,4 mins 3 secs,0,0,0,0,0,0,4.17
207,2105679,1,12 mins 51 secs,5,0.83,0.83,0.83,0.83,0,0
208,2304679,4,21 hours 14 mins,9.17,0.83,1.67,0.83,0.83,0.83,0.83
209,2021673,6,19 mins 34 secs,9.17,0.83,1.67,0.83,0.83,0.83,0.83
210,2321365,3,28 mins 40 secs,9.17,1.67,0.83,0.83,0.83,0.83,0
211,2292865,4,17 mins 14 secs,2.5,0,0,0,0,0,3.33
212,2292865,5,4 mins 36 secs,8.33,0,1.67,0.83,0.83,0.83,4.17
213,2393365,3,11 mins 55 secs,9.17,1.67,0.83,0.83,0.83,0.83,3.33
214,2343365,5,6 mins 36 secs,10,1.67,1.67,0.83,0.83,0.83,4.17
215,2292865,6,3 mins 58 secs,10,1.67,1.67,0.83,0.83,0.83,4.17
