Index,ID,Attempt Number,Time taken,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
1,2321365,1,14 mins 29 secs,9.2,0.53,0.67,0.67,0,0.67,0.67,0.67,1.33,4
2,2718674,1,27 mins 15 secs,8,0.67,0.67,0.67,0.67,0,0.67,0.67,0.67,3.33
3,2341365,1,8 mins 35 secs,6.67,0.67,0.67,0,0.67,0.67,0.67,0,0,3.33
4,2107670,1,16 mins 39 secs,4,0.67,0,0,0,0,0,0,1.33,2
5,2281465,1,10 mins 33 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
6,2321465,1,7 hours 35 mins,5.2,0.53,0,0,0.67,0,0.67,0,1.33,2
7,2342265,1,3 days 19 hours,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
8,1401676,1,4 days 14 hours,6.67,0.67,0.67,0,0.67,0.67,0.67,0,0,3.33
9,2321665,1,45 mins 1 sec,7.87,0.53,0.67,0.67,0.67,0,0.67,0.67,1.33,2.67
10,2214669,1,8 mins 54 secs,8.67,0.67,0.67,0.67,0.67,0,0.67,0.67,0.67,4
11,2321465,2,33 mins 22 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
12,2816679,1,20 mins 5 secs,6,0.67,0.67,0.67,0.67,0.67,0.67,0,0,2
13,2110669,1,2 hours 16 mins,6,0.67,0.67,0.67,0.67,0,0.67,0,0,2.67
14,2110669,2,5 mins 46 secs,9.33,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,4
15,2304679,1,14 mins 39 secs,2.98,0.31,0,0,0,0,0,0,0.67,2
16,2311673,1,13 mins 48 secs,6.53,0.53,0.67,0.67,0.67,0,0.67,0.67,0,2.67
17,2382365,1,12 mins 2 secs,8.53,0.53,0.67,0.67,0.67,0,0.67,0,1.33,4
18,2313065,1,8 hours 27 mins,4.67,0.67,0,0,0,0,0,0,0,4
19,2815685,1,11 mins 25 secs,8,0.67,0.67,0.67,0.67,0.67,0.67,0,0,4
20,2281865,1,11 mins 55 secs,7.33,0.67,0.67,0.67,0.67,0.67,0,0,0.67,3.33
21,2021672,1,30 mins 33 secs,6.31,0.31,0,0,0.67,0.67,0.67,0.67,1.33,2
22,2382967,1,7 mins 59 secs,0.98,0.31,0,0,0,0.67,0,0,0,0
23,2313065,2,4 mins 14 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
24,2382967,2,10 mins 28 secs,8.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,3.33
25,2304679,2,20 mins,8.53,0.53,0.67,0.67,0.67,0.67,0.67,0,1.33,3.33
26,1400669,1,17 mins 29 secs,4.98,0.31,0,0,0.67,0,0.67,0.67,0,2.67
27,1400669,2,3 mins 41 secs,8.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0,4
28,2332367,1,3 days 2 hours,8.09,0.09,0.67,0.67,0,0.67,0.67,0,1.33,4
29,2332665,1,16 mins 35 secs,4.44,0.44,0,0,0.67,0,0.67,0.67,0,2
30,2332665,2,16 mins 32 secs,9.33,0.67,0.67,0.67,0.67,0,0.67,0.67,1.33,4
31,1416669,1,23 mins 47 secs,2.67,0.67,0.67,0.67,0,0,0,0,0,0.67
32,2021673,1,13 mins 47 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
33,2343365,1,21 mins 39 secs,9.33,0.67,0.67,0.67,0.67,0.67,0.67,0,1.33,4
34,2341465,1,12 mins 5 secs,7.2,0.53,0.67,0.67,0,0,0.67,0.67,0.67,3.33
35,1017684,1,40 mins 36 secs,6,0.67,0,0,0.67,0.67,0,0.67,0,3.33
36,2318682,1,36 mins 4 secs,9.33,0.67,0.67,0.67,0.67,0.67,0.67,0,1.33,4
37,2453065,1,7 mins 6 secs,1.33,0.67,0,0,0.67,0,0,0,0,0
38,2341865,1,17 mins 46 secs,9.87,0.53,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
39,2304679,3,11 mins 48 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
40,2804676,1,19 mins 16 secs,5.64,0.31,0,0.67,0.67,0,0,0.67,1.33,2
41,2109673,1,40 mins 29 secs,6,0.67,0.67,0.67,0.67,0.67,0.67,0,0,2
42,1401679,1,1 hour 15 mins,7.33,0.67,0.67,0.67,0.67,0,0,0.67,0,4
43,9211865,1,1 hour 26 mins,6,0.67,0.67,0.67,0.67,0,0,0,0,3.33
44,1401685,1,15 mins 58 secs,2.53,0.53,0,0.67,0,0,0,0.67,0.67,0
45,2313683,1,30 mins 12 secs,6.31,0.31,0,0.67,0,0.67,0.67,0,0,4
46,9211865,2,15 mins 32 secs,8.31,0.31,0.67,0.67,0.67,0,0.67,0,1.33,4
47,1400669,3,9 mins 7 secs,8.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0,4
48,6212665,1,1 day 8 hours,0.44,0.44,0,0,0,0,0,0,0,0
49,2305682,1,9 hours 58 mins,6.67,0.67,0.67,0.67,0.67,0,0.67,0,1.33,2
50,1400685,1,37 mins 51 secs,1.73,0.4,0,0,0,0,0.67,0,0.67,0
51,2292865,1,7 mins 3 secs,4.4,0.4,0.67,0,0,0,0,0,0,3.33
52,2292865,2,4 mins 20 secs,6.31,0.31,0,0.67,0,0,0.67,0,0.67,4
53,2292865,3,2 mins 55 secs,9.87,0.53,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
54,2018672,1,13 mins 19 secs,6.4,0.4,0,0.67,0,0,0.67,0.67,0,4
55,2717687,1,20 mins 16 secs,3.56,0.22,0.67,0,0.67,0.67,0.67,0,0.67,0
56,2343365,2,35 mins 10 secs,9.33,0.67,0.67,0.67,0.67,0.67,0.67,0,1.33,4
57,2110679,1,7 mins 27 secs,7.78,0.44,0.67,0,0.67,0,0.67,0,1.33,4
58,2303686,1,8 mins 19 secs,2.67,0.67,0,0.67,0.67,0,0,0.67,0,0
59,1321673,1,41 mins 51 secs,5.64,0.31,0,0,0.67,0,0,0.67,0.67,3.33
60,2303686,2,13 mins 18 secs,8.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,3.33
61,2717687,2,10 mins 57 secs,6.09,0.09,0.67,0.67,0.67,0,0.67,0,1.33,2
62,2301682,1,2 mins 57 secs,0.53,0.53,0,0,0,0,0,0,0,0
63,1321673,2,10 mins 18 secs,7.11,0.44,0.67,0,0.67,0.67,0,0.67,0.67,3.33
64,2216669,1,15 mins 21 secs,7.51,0.18,0.67,0.67,0.67,0,0.67,0.67,0,4
65,1321673,3,4 mins 14 secs,6.67,0.67,0,0.67,0.67,0,0,0.67,0.67,3.33
66,1321673,4,5 mins 19 secs,8,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,2
67,9211865,3,14 mins 51 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
68,2332367,1,7 hours 21 mins,8.31,0.31,0.67,0.67,0.67,0.67,0,0,1.33,4
69,2805673,1,26 mins 12 secs,8,0.67,0,0.67,0.67,0,0.67,0.67,1.33,3.33
70,3406673,1,10 mins 46 secs,8,0.67,0.67,0.67,0,0,0.67,0.67,1.33,3.33
71,2218682,1,1 hour 12 mins,2.76,0.09,0.67,0.67,0.67,0,0.67,0,0,0
72,3320673,1,7 mins 48 secs,4.67,0.67,0,0.67,0.67,0.67,0.67,0.67,0.67,0
73,1817689,1,11 mins 9 secs,0.67,0.67,0,0,0,0,0,0,0,0
74,1799678,1,33 mins 47 secs,7.87,0.53,0.67,0.67,0.67,0.67,0.67,0,1.33,2.67
75,2321665,2,25 mins 17 secs,7.2,0.53,0.67,0.67,0.67,0,0.67,0.67,1.33,2
76,2105679,1,26 mins 58 secs,2.84,0.18,0.67,0,0,0,0.67,0,1.33,0
77,1400669,4,17 mins 49 secs,8.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0,4
78,2717685,1,40 mins 6 secs,5.33,0.67,0.67,0.67,0.67,0.67,0.67,0,0,1.33
79,2111679,1,37 mins 27 secs,6,0.67,0.67,0.67,0.67,0.67,0.67,0,0.67,1.33
80,2107670,2,12 mins 47 secs,3.11,0.44,0,0.67,0.67,0,0,0,0,1.33
81,1406679,1,10 mins 48 secs,6.53,0.53,0.67,0,0.67,0,0.67,0.67,1.33,2
82,2016685,1,36 mins 54 secs,8,0.67,0.67,0.67,0,0,0.67,0,1.33,4
83,2341365,2,22 mins 39 secs,7.2,0.53,0.67,0,0,0,0.67,0,1.33,4
84,2317684,1,36 mins 1 sec,8,0.67,0.67,0.67,0,0.67,0.67,0.67,0,4
85,2018672,2,9 mins 42 secs,9.64,0.31,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
86,2382967,3,25 mins 2 secs,5.64,0.31,0.67,0.67,0.67,0.67,0,0,0.67,2
87,3306685,1,3 hours 29 mins,4.67,0.67,0.67,0.67,0.67,0,0,0,0,2
88,2301672,1,7 mins 51 secs,0.98,0.31,0,0,0,0,0.67,0,0,0
89,2301672,2,4 mins 53 secs,8,0.67,0.67,0.67,0.67,0.67,0,0.67,0.67,3.33
90,2300685,1,1 min 16 secs,0.98,0.31,0.67,0,0,0,0,0,0,0
91,2300685,2,28 mins 31 secs,2.67,0.67,0.67,0,0.67,0,0,0.67,0,0
92,2251265,1,7 mins 6 secs,6,0.67,0,0.67,0.67,0,0.67,0,1.33,2
93,2381365,1,9 mins 14 secs,2.67,0.67,0,0,0,0,0.67,0,1.33,0
94,2014679,1,16 mins 39 secs,2.53,0.53,0,0.67,0.67,0,0.67,0,0,0
95,1014676,1,15 mins 35 secs,7.33,0.67,0,0.67,0.67,0,0.67,0.67,0,4
96,3222967,1,43 mins 18 secs,1.07,0.4,0,0,0,0,0,0,0.67,0
97,3306685,2,3 mins 14 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
98,2311673,2,12 mins 25 secs,8,0.67,0,0.67,0.67,0.67,0.67,0.67,1.33,2.67
99,2321465,3,12 mins 5 secs,8.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0,4
100,2332367,2,14 mins 55 secs,9.78,0.44,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
101,2393365,1,14 mins 28 secs,9.33,0.67,0.67,0.67,0.67,0.67,0.67,0,1.33,4
102,2381865,1,18 mins 51 secs,3.2,0.53,0.67,0.67,0.67,0.67,0,0,0,0
103,2017673,1,10 mins 23 secs,3.64,0.31,0.67,0.67,0,0.67,0.67,0,0.67,0
104,2108679,1,15 mins 7 secs,5.33,0.67,0.67,0.67,0.67,0,0.67,0,0.67,1.33
105,2301676,1,11 mins 3 secs,3.87,0.53,0.67,0,0,0,0.67,0,0,2
106,2721669,1,7 mins 36 secs,5.33,0.67,0.67,0.67,0.67,0.67,0.67,0,0,1.33
107,2291566,1,16 mins 59 secs,7.2,0.53,0.67,0.67,0.67,0.67,0.67,0.67,0.67,2
108,2305682,2,15 mins 48 secs,8.67,0.67,0,0.67,0.67,0.67,0,0.67,1.33,4
109,2318685,1,1 hour 39 mins,2.53,0.53,0.67,0,0.67,0,0,0.67,0,0
110,1404673,1,21 mins 10 secs,3.64,0.31,0.67,0.67,0.67,0,0,0,0,1.33
111,2108679,2,7 mins 23 secs,8.53,0.53,0.67,0.67,0.67,0.67,0.67,0.67,1.33,2.67
112,2107670,3,54 mins 18 secs,5.33,0.67,0.67,0.67,0.67,0,0.67,0.67,1.33,0
113,2811673,1,25 mins 50 secs,8.98,0.31,0.67,0.67,0.67,0.67,0.67,0,1.33,4
114,1400685,2,9 mins 43 secs,1.87,0.53,0.67,0.67,0,0,0,0,0,0
115,2811669,1,2 hours 7 mins,2.98,0.31,0.67,0,0.67,0,0,0,0.67,0.67
116,2202685,1,14 mins 57 secs,5.11,0.44,0.67,0.67,0.67,0,0.67,0,0,2
117,2393065,1,18 mins 27 secs,5.2,0.53,0.67,0.67,0.67,0,0.67,0,0,2
118,1321673,5,8 mins 11 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
119,2393065,2,8 mins 56 secs,9.33,0.67,0.67,0.67,0.67,0,0.67,0.67,1.33,4
120,2721669,2,3 mins 46 secs,5.33,0.67,0,0.67,0.67,0.67,0.67,0.67,0,1.33
121,6212665,2,7 mins 23 secs,6.67,0.67,0,0.67,0.67,0.67,0.67,0.67,1.33,1.33
122,1321673,6,3 mins 40 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
123,3222967,2,10 mins 49 secs,4.4,0.4,0,0,0.67,0,0.67,0,1.33,1.33
124,2110679,2,9 mins 50 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
125,6212665,3,10 mins 52 secs,8.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,2.67
126,3222967,3,3 mins 2 secs,8.67,0.67,0.67,0.67,0,0.67,0.67,0.67,1.33,3.33
127,7231765,1,1 hour 14 mins,1.56,0.22,0.67,0.67,0,0,0,0,0,0
128,2810689,1,6 mins 12 secs,9.33,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,3.33
129,2341365,3,7 mins 16 secs,8.98,0.31,0.67,0.67,0.67,0.67,0.67,0,1.33,4
130,2200679,1,11 mins 1 sec,4.31,0.31,0.67,0.67,0,0.67,0.67,0.67,0,0.67
131,2308679,1,37 mins 25 secs,5.2,0.53,0.67,0.67,0.67,0.67,0,0,0.67,1.33
132,2306679,1,16 mins 57 secs,7.2,0.53,0.67,0.67,0.67,0,0.67,0,1.33,2.67
133,1401679,2,4 mins 39 secs,7.33,0.67,0.67,0.67,0.67,0,0,0.67,0,4
134,2381865,2,16 mins 34 secs,8,0.67,0.67,0.67,0.67,0.67,0.67,0,1.33,2.67
135,2291566,2,16 mins 56 secs,8.53,0.53,0.67,0.67,0.67,0,0.67,0,1.33,4
136,2341365,4,2 mins 45 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
137,2393365,2,7 mins 36 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
138,1021672,1,12 mins 25 secs,3.2,0.53,0,0,0.67,0,0.67,0,1.33,0
139,1014682,1,4 mins 36 secs,0.44,0.44,0,0,0,0,0,0,0,0
140,2804676,3,7 mins 29 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
141,1401682,1,11 mins 55 secs,7.33,0.67,0.67,0.67,0.67,0,0.67,0,0,4
142,2308679,2,5 mins 34 secs,8.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,3.33
143,1014682,2,2 mins,3.11,0.44,0.67,0.67,0.67,0,0,0.67,0,0
144,2218682,2,10 mins 27 secs,2,0,0.67,0.67,0,0.67,0,0,0,0
145,2200679,2,11 mins 25 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
146,2302673,1,10 mins 29 secs,4,0.67,0,0.67,0.67,0.67,0,0,0,1.33
147,2017673,2,7 mins 5 secs,2.98,0.31,0.67,0.67,0,0.67,0.67,0,0,0
148,2718674,2,9 mins 14 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
149,1008679,1,28 mins 44 secs,1.64,0.31,0.67,0,0,0,0,0.67,0,0
150,1008679,2,1 hour 10 mins,4.44,0.44,0,0,0,0,0.67,0.67,0,2.67
151,2114672,1,16 mins 38 secs,7.33,0.67,0.67,0.67,0.67,0.67,0.67,0,1.33,2
152,2021673,2,9 mins 36 secs,10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,4
153,2811669,2,20 mins 14 secs,2.67,0.67,0,0,0.67,0,0,0,0,1.33
154,2200679,3,48 mins 44 secs,4.31,0.31,0.67,0.67,0.67,0.67,0.67,0,0.67,0
155,1321673,7,16 mins 28 secs,6,0.67,0.67,0.67,0.67,0.67,0,0.67,0,2
156,2381365,1,16 mins 58 secs,6,0.67,0,0.67,0.67,0,0,0.67,1.33,2
157,2105679,1,16 mins 2 secs,6.67,0.67,0.67,0.67,0,0,0.67,0,0,4
158,1416669,2,14 mins 9 secs,5.87,0.53,0.67,0.67,0,0,0.67,0,0,3.33
159,2721669,3,11 mins 20 secs,8.67,0.67,0.67,0.67,0.67,0.67,0.67,0,0.67,4
160,2304679,4,8 mins 32 secs,8,0.67,0,0.67,0.67,0.67,0,0,1.33,4
161,2292865,4,4 mins 27 secs,6.67,0.67,0.67,0,0,0.67,0,0,1.33,3.33
162,2321365,2,8 mins 9 secs,9.33,0.67,0.67,0.67,0.67,0.67,0.67,0,1.33,4
163,2393365,3,15 mins 15 secs,8.67,0.67,0.67,0.67,0.67,0.67,0.67,0,1.33,3.33
164,2341465,2,11 mins 19 secs,4.67,0.67,0.67,0,0.67,0,0.67,0,0.67,1.33
165,2343365,3,15 mins 15 secs,5.33,0.67,0.67,0.67,0.67,0.67,0.67,0,1.33,0
166,2341665,1,12 mins 18 secs,7.11,0.44,0.67,0.67,0.67,0,0.67,0,0.67,3.33
167,2292865,5,2 mins 57 secs,6.53,0.53,0,0.67,0.67,0.67,0,0.67,0.67,2.67
168,1021672,2,9 mins 44 secs,5.78,0.44,0.67,0.67,0.67,0,0.67,0.67,0,2
169,2301682,2,14 mins 34 secs,5.11,0.44,0,0.67,0.67,0,0.67,0.67,0,2
